NIK|NAMA LENGKAP|TANGGAL|JAM|LOKASI|SUHU TUBUH
1234567890123456|putri sri mulyani|0012-03-12|21:31|31212|1231
1234567890123456|putri sri mulyani|0021-03-12|03:23|1231|1231
0909090909090909|coba|0123-03-12|12:12|1231|213
1234567890123456|putri sri mulyani|0012-12-12|12:12|2121|121
1234567890123456|putri sri mulyani|1123-03-12|21:31|121|123
1234567890123456|putri sri mulyani|0211-11-12|16:29|sekolah|35
1234567890123456|putri sri mulyani|1121-12-12|12:21|21|12
1234567890123456|putri sri mulyani|11312-11-12|12:01|121|121
1234567890123456|putri sri mulyani|5322-07-06|05:46|wrda|12
1234567890123456|putri sri mulyani|2112-02-12|12:01|1`2|121
1234567890123456|putri sri mulyani|0213-03-21|12:13|1231|123
1234567890123456|putri sri mulyani|0112-12-12|12:12|212|121
1313131313131313|Yunita rahayu|1212-02-21|12:01|121|21
1234567890123456|putri sri mulyani|0001-02-12|12:01|121|122
7878787878787878|coba|0121-12-12|12:01|121|21
1234567890123456|putri sri mulyani|3232-12-12|03:02|jakarta|36
